"","decimalLongitude","decimalLatitude","occurrenceStatus"
"1",-106.608699,52.171526,"PRESENT"
"2",-106.653375,52.125703,"PRESENT"
"3",-106.697432,52.031578,"PRESENT"
"4",-106.701032,52.02997,"PRESENT"
"5",-108.959782,53.392269,"PRESENT"
"6",-107.269324,52.194521,"PRESENT"
"7",-106.066142,52.919385,"PRESENT"
"8",-107.055888,53.498296,"PRESENT"
"9",-106.39686,54.080318,"PRESENT"
"10",-106.10936,53.95893,"PRESENT"
"11",-106.0616,52.24845,"PRESENT"
"12",-109.863022,52.668328,"PRESENT"
"13",-106.567027,52.179354,"PRESENT"
"14",-107.621298,53.27973,"PRESENT"
"15",-106.0664,53.64002,"PRESENT"
"16",-106.097452,53.866831,"PRESENT"
"17",-105.309336,55.086149,"PRESENT"
"18",-106.282318,53.979604,"PRESENT"
"19",-106.703314,53.697086,"PRESENT"
"20",-108.395531,53.126438,"PRESENT"
"21",-106.639691,52.123339,"PRESENT"
"22",-106.410499,54.119118,"PRESENT"
"23",-106.406497,54.100501,"PRESENT"
"24",-109.48051,53.539676,"PRESENT"
"25",-106.580392,52.107022,"PRESENT"
"26",-108.959416,53.392285,"PRESENT"
"27",-109.992572,53.275383,"PRESENT"
"28",-106.048499,53.83767,"PRESENT"
"29",-105.161663,53.778524,"PRESENT"
"30",-105.113222,52.202829,"PRESENT"
"31",-106.575212,52.163761,"PRESENT"
"32",-107.229538,52.669217,"PRESENT"
"33",-107.228087,52.667848,"PRESENT"
"34",-107.229685,52.668445,"PRESENT"
"35",-106.752534,52.101151,"PRESENT"
"36",-106.640262,52.146807,"PRESENT"
"37",-106.603777,52.169757,"PRESENT"
"38",-106.643289,52.133459,"PRESENT"
"39",-106.558264,52.178685,"PRESENT"
"40",-106.697772,52.034582,"PRESENT"
"41",-106.655526,52.122656,"PRESENT"
"42",-106.342522,53.493625,"PRESENT"
"43",-106.557297,52.093704,"PRESENT"
"44",-107.621124,53.27972,"PRESENT"
"45",-106.292416,53.593747,"PRESENT"
"46",-106.411814,52.107654,"PRESENT"
"47",-106.686665,52.107154,"PRESENT"
"48",-105.101455,55.313962,"PRESENT"
"49",-106.591248,52.029618,"PRESENT"
"50",-105.979576,53.2334,"PRESENT"
"51",-106.829761,53.874764,"PRESENT"
"52",-108.961383,53.391135,"PRESENT"
"53",-106.02342,53.905315,"PRESENT"
"54",-106.59346,52.22607,"PRESENT"
"55",-106.650327,52.132195,"PRESENT"
"56",-106.643145,52.133465,"PRESENT"
"57",-106.600712,52.165611,"PRESENT"
"58",-107.523224,53.362984,"PRESENT"
"59",-106.71773,52.076344,"PRESENT"
"60",-106.212451,53.395202,"PRESENT"
"61",-106.640047,52.147713,"PRESENT"
"62",-106.783034,52.114485,"PRESENT"
"63",-106.644331,52.133204,"PRESENT"
"64",-106.604538,52.169167,"PRESENT"
"65",-106.187217,52.701155,"PRESENT"
"66",-106.694593,52.027825,"PRESENT"
"67",-109.364653,54.431666,"PRESENT"
"68",-108.369047,53.111901,"PRESENT"
"69",-106.592659,52.211358,"PRESENT"
"70",-106.567501,52.17933,"PRESENT"
"71",-106.683932,52.119283,"PRESENT"
"72",-108.930062,53.384024,"PRESENT"
"73",-106.74953,52.100933,"PRESENT"
"74",-106.626722,52.200125,"PRESENT"
"75",-106.567527,52.17935,"PRESENT"
"76",-106.679986,52.108521,"PRESENT"
"77",-106.680025,52.108664,"PRESENT"
"78",-106.632122,52.141557,"PRESENT"
"79",-106.632122,52.141557,"PRESENT"
"80",-105.915917,53.566658,"PRESENT"
"81",-107.636895,53.273197,"PRESENT"
"82",-105.871186,53.440138,"PRESENT"
"83",-106.164232,53.978355,"PRESENT"
"84",-106.633885,52.142122,"PRESENT"
"85",-106.041483,53.584245,"PRESENT"
"86",-105.161018,53.778357,"PRESENT"
"87",-106.164148,53.978587,"PRESENT"
"88",-108.398535,53.127563,"PRESENT"
"89",-103.510657,52.492378,"PRESENT"
"90",-108.808962,54.41045,"PRESENT"
"91",-103.51894,52.575888,"PRESENT"
"92",-105.704312,53.18308,"PRESENT"
"93",-105.871186,53.440138,"PRESENT"
"94",-108.399075,53.127778,"PRESENT"
"95",-105.116125,52.207816,"PRESENT"
"96",-103.698263,52.548237,"PRESENT"
"97",-108.627878,54.40658,"PRESENT"
"98",-108.808692,54.409342,"PRESENT"
"99",-108.808659,54.409548,"PRESENT"
"100",-109.741508,54.484303,"PRESENT"
"101",-109.740772,54.484316,"PRESENT"
"102",-105.932085,53.714351,"PRESENT"
"103",-109.743372,54.484574,"PRESENT"
"104",-109.743486,54.484541,"PRESENT"
"105",-106.641465,52.136762,"PRESENT"
"106",-107.147231,52.373049,"PRESENT"
"107",-106.63333,52.16667,"PRESENT"
"108",-106.898,52.531,"PRESENT"
