"","decimalLongitude","decimalLatitude"
"1",-106.608699,52.171526
"2",-106.653375,52.125703
"3",-106.697432,52.031578
"4",-106.701032,52.02997
"5",-108.959782,53.392269
"6",-107.269324,52.194521
"7",-106.066142,52.919385
"8",-107.055888,53.498296
"9",-106.39686,54.080318
"10",-106.10936,53.95893
"11",-106.0616,52.24845
"12",-109.863022,52.668328
"13",-106.567027,52.179354
"14",-107.621298,53.27973
"15",-106.0664,53.64002
"16",-106.097452,53.866831
"17",-105.309336,55.086149
"18",-106.282318,53.979604
"19",-106.703314,53.697086
"20",-108.395531,53.126438
"21",-106.639691,52.123339
"22",-106.410499,54.119118
"23",-106.406497,54.100501
"24",-109.48051,53.539676
"25",-106.580392,52.107022
"26",-108.959416,53.392285
"27",-109.992572,53.275383
"28",-106.048499,53.83767
"29",-105.161663,53.778524
"30",-105.113222,52.202829
"31",-106.575212,52.163761
"32",-107.229538,52.669217
"33",-107.228087,52.667848
"34",-107.229685,52.668445
"35",-106.752534,52.101151
"36",-106.640262,52.146807
"37",-106.603777,52.169757
"38",-106.643289,52.133459
"39",-106.558264,52.178685
"40",-106.697772,52.034582
"41",-106.655526,52.122656
"42",-106.342522,53.493625
"43",-106.557297,52.093704
"44",-107.621124,53.27972
"45",-106.292416,53.593747
"46",-106.411814,52.107654
"47",-106.686665,52.107154
"48",-105.101455,55.313962
"49",-106.591248,52.029618
"50",-105.979576,53.2334
"51",-106.829761,53.874764
"52",-108.961383,53.391135
"53",-106.02342,53.905315
"54",-106.59346,52.22607
"55",-106.650327,52.132195
"56",-106.643145,52.133465
"57",-106.600712,52.165611
"58",-107.523224,53.362984
"59",-106.71773,52.076344
"60",-106.212451,53.395202
"61",-106.640047,52.147713
"62",-106.783034,52.114485
"63",-106.644331,52.133204
"64",-106.604538,52.169167
"65",-106.187217,52.701155
"66",-106.694593,52.027825
"67",-109.364653,54.431666
"68",-108.369047,53.111901
"69",-106.592659,52.211358
"70",-106.567501,52.17933
"71",-106.683932,52.119283
"72",-108.930062,53.384024
"73",-106.74953,52.100933
"74",-106.626722,52.200125
"75",-106.567527,52.17935
"76",-106.679986,52.108521
"77",-106.680025,52.108664
"78",-106.632122,52.141557
"79",-106.632122,52.141557
"80",-105.915917,53.566658
"81",-107.636895,53.273197
"82",-105.871186,53.440138
"83",-106.164232,53.978355
"84",-106.633885,52.142122
"85",-106.041483,53.584245
"86",-105.161018,53.778357
"87",-106.164148,53.978587
"88",-108.398535,53.127563
"89",-103.510657,52.492378
"90",-108.808962,54.41045
"91",-103.51894,52.575888
"92",-105.704312,53.18308
"93",-105.871186,53.440138
"94",-108.399075,53.127778
"95",-105.116125,52.207816
"96",-103.698263,52.548237
"97",-108.627878,54.40658
"98",-108.808692,54.409342
"99",-108.808659,54.409548
"100",-109.741508,54.484303
"101",-109.740772,54.484316
"102",-105.932085,53.714351
"103",-109.743372,54.484574
"104",-109.743486,54.484541
"105",-106.641465,52.136762
"106",-107.147231,52.373049
"107",-106.63333,52.16667
"108",-106.898,52.531
